table_name,column_name,data_type,data_explanation,business assumptions,Remarks,,
DigitalUsage,last_mobile_use,DATETIME,Timestamp of the most recent mobile login,Assume recency of mobile app usage correlates with average mobile logins per week,,,
DigitalUsage,last_web_use,DATETIME,Timestamp of the most recent web login,Assume recency of web account usage correlates with average web account logins per week,,,
Transaction,transaction_id,INTEGER,Unique transaction identifier,Sequentially genreated from 1 to n_transactions,,,
Transaction,customer_id,INTEGER,Unique customer identifier,Same as in customers table,,,
Transaction,transaction_type,VARCHAR(50),"Type of transaction, can be either of the following: Deposit, Withdrawal, Transfer, Credit",Randomly assigned using given probabilities from past data,,,
Transaction,transaction_amt,MONEY,Transaction amount,Probability based on customer's income,,,
Transaction,transaction_date,DATETIME,Date of transaction,From 2023 to 2024 dataset,,,
Campaign,campaign_id,INTEGER,Unique campaign identifier,Sequentially generated from 1 to n_campaigns,,,
Campaign,campaign_type,STRING,The type of campaign employed,,"- Email Marketing
- Afflilate Marketing
- Display Advertising
- Search Engine Optimisation 
- Telemarketing",,
Campaign,target_audience,STRING,"The specific audience segment targeted by the campaign, such as women aged 25-34, men aged 18-24, or all age groups.",,,,
Campaign,campaign_duration,INTEGER,"The duration of the campaign, expressed in days.",,,,
Campaign,conversion_rate,FLOAT,"The percentage of leads or impressions that converted into desired actions, indicating campaign effectiveness.",,,,
Campaign,acquisiton_cost,MONEY,"The cost incurred by the company to acquire customers, presented in monetary format.",,,,
Campaign,roi,FLOAT,"Return on Investment, representing the profitability and success of the campaign.",,,,
Campaign,campaign_language,STRING,"The language used in the campaign communication, including English, Spanish, French, German, or Mandarin.",,,,
Campaign,impressions,INTEGER,Number of people who viewed the ad,,,,
Campaign,click,INTEGER,"Of the number of people who viewed the ad, how many clicked?",,,,
Loan,loan_id,INTEGER,Unique identifer of the loan,sequentially generated from 1-7290,,,
Loan,customer_id,INTEGER,Same as customer_id,Sampled from the total customer_ids and retrieved 66%,,,
Loan,loan_amount,MONEY,Amount of the loan,Sampled from the another loans dataset in kaggle,,,
Loan,past_due_date,INTEGER,Number of days past the deadline of the loan,Sampled from the another loans dataset in kaggle,,,
Loan,loan_purpose,VARCHAR(50),"Purpose of loan, can be categorised as: 'debt_consolidation', 'major_purchase', 'credit_card', 'small_business', 'house-related', 'educational', vacation', 'wedding', 'medical'",Sampled from the another loans dataset in kaggle,,,
ProductsOwned,has_investment_product ,INTEGER,,"weighted probability based on income,  balance, dti, and  average transactions (lower emphasis)",,,
ProductsOwned,has_credit_card,INTEGER,,"weighted probability bsaed on income, balance, and transaction frequency (lower emphasis)

also, ensure that if loan_pirpose = credit card, then the person has credit card",,,
ProductsOwned,has_home_loan,INTEGER,,"based on age, marriage status,

ensure that if loan_amount = 0, then this shld have 0 value
also ensure that if loan_purpose ties to any home-related category, then this shld have value 1",,,
ProductsOwned,has_personal_loan,INTEGER,,"based on  dti and past due loan

ensure that if loan_amount = 0, then this shld have 0 value
also ensure that if loan_purpose ties to any personal-related category, then this shld have value 1",,,
ProductsOwned,has_fixed_deposit,INTEGER,,"weighted probability based on balance tenure, and age (lower emphasis)",,,
ProductsOwned,has_insurance,INTEGER,,"weighted probability based on age and dependents, as well as income (lower emphasis)",,,
ProductsOwned,customer_id,INTEGER,Unique customer identifier,,,,
