Table_Name,Column_Name,Data_Type,Data_Explanation,Business_Assumptions,Remarks,,
DigitalUsage,avg_web_time,FLOAT,Average duration (in minutes) of a web session,Assume the average customer web sessions are on average longer than that of mobile sessions due to more information on the web.,,,
DigitalUsage,last_mobile_use,DATETIME,Timestamp of the most recent mobile login,Assume recency of mobile app usage correlates with average mobile logins per week.,,,
DigitalUsage,last_web_use,DATETIME,Timestamp of the most recent web login,Assume recency of web account usage correlates with average web account logins per week.,,,
Transaction,transaction_id,INTEGER,Unique transaction identifier,Sequentially generated from 1 to n transactions.,,,
Transaction,customer_id,INTEGER,Unique customer identifier,Same as in customers table,,,
Transaction,transaction_type,VARCHAR(50),"Type of transaction, can be either of the following: Deposit, Withdrawal, Transfer, Credit",Randomly assigned using given probabilities from past data.,,,
Transaction,transaction_amt,MONEY,Transaction amount,Probability based on customer's income.,,,
Transaction,transaction_date,DATETIME,Date of transaction,From 2023 to 2024 dataset.,,,
Campaign,campaign_id,INTEGER,Unique campaign identifier,Sequentially generated from 1 to n campaigns.,,,
Campaign,campaign_type,STRING,The type of campaign employed,,"Email Marketing, Afflilate Marketing, Display Advertising, Search Engine Optimisation , Telemarketing",,
Campaign,target_audience,STRING,"The specific audience segment targeted by the campaign, such as women aged 25-34, men aged 18-24, or all age groups",,,,
Campaign,campaign_duration,INTEGER,"The duration of the campaign, expressed in days",,,,
Campaign,conversion_rate,FLOAT,"The percentage of leads or impressions that converted into desired actions, indicating campaign effectiveness",,,,
Campaign,acquisiton_cost,MONEY,"The cost incurred by the company to acquire customers, presented in monetary format",,,,
Campaign,roi,FLOAT,"Return on Investment, representing the profitability and success of the campaign",,,,
Campaign,campaign_language,STRING,"The language used in the campaign communication, including English, Spanish, French, German, or Mandarin",,,,
Campaign,impressions,INTEGER,Number of people who viewed the ad,,,,
Campaign,clicks,INTEGER,"Of the number of people who viewed the ad, how many clicked?",,,,
Loan,loan_id,INTEGER,Unique identifer of the loan,Sequentially generated from 1-7290.,,,
Loan,customer_id,INTEGER,Same as customer_id,Sampled from the total customer_ids and retrieved 66%.,,,
Loan,loan_amount,MONEY,Amount of the loan,Sampled from the another loans dataset in Kaggle.,,,
Loan,loan_purpose,VARCHAR(50),"Purpose of loan, can be categorised as: 'debt_consolidation', 'major_purchase', 'credit_card', 'small_business', 'house-related', 'educational', vacation', 'wedding', 'medical'",Sampled from the another loans dataset in Kaggle.,,,
Loan,due_date,DATETIME,Deadline of the loan,,,,
Loan,paid_off_date,DATETIME,Date loan was paid off,,,,
ProductsOwned,has_investment_product ,INTEGER,"Does the customer own an investment product? (1:'yes', 0:'no')","Probability based on income, balance, debt-to-income ratio, and CLV.",,,
ProductsOwned,has_credit_card,INTEGER,"Does the customer own a credit card? (1:'yes', 0:'no')","Probability based on age, marital status, employment status. Also, ensure that if loan_purpose = credit card, then the person has a credit card.",,,
ProductsOwned,has_home_loan,INTEGER,"Does the customer have a home loan? (1:'yes', 0:'no')","If loan_purpose = ""housing-related"" in loans table.",,,
ProductsOwned,has_personal_loan,INTEGER,"Does the customer have any personal loans? (1:'yes', 0:'no')","If loan_purpose = ""debt_consolidation"", ""major_purchase"", ""credit_card"", ""educational"", ""vacation"", ""wedding"" or ""medical"" in loans table.",,,
ProductsOwned,has_fixed_deposit,INTEGER,"Does the customer own a fixed deposit? (1:'yes', 0:'no')","Probability based on balance, tenure, age, and debt-to-income ratio.",,,
ProductsOwned,has_insurance,INTEGER,"Does the customer own insurance? (1:'yes', 0:'no')","Probability based on age, number of dependents, and income.",,,
ProductsOwned,customer_id,INTEGER,Unique customer identifier,,,,
