customer_id,has_mobile_app,has_web_account,mobile_logins_wk,web_logins_wk,avg_mobile_time,avg_web_time,last_mobile_use,last_web_use
59,1,1,11.0,1.0,1.93,15.46,2023-10-16,2024-09-14
60,1,1,7.0,5.0,6.19,6.32,2024-07-11,2024-10-02
61,1,1,0.0,1.0,0.0,16.59,2024-09-09,2024-12-21
62,1,1,10.0,3.0,1.89,7.96,2023-05-29,2024-07-24
63,1,1,5.0,3.0,6.55,7.95,2024-09-08,2024-08-27
64,1,1,4.0,3.0,6.21,7.97,2024-10-11,2024-10-09
65,0,1,,0.0,,0.0,,2023-06-24
66,1,1,6.0,1.0,4.84,16.39,2024-09-06,2024-12-30
67,1,1,3.0,7.0,5.71,1.83,2024-10-27,2023-11-20
68,1,1,3.0,5.0,6.17,7.1,2024-09-22,2024-07-19
69,1,1,7.0,0.0,6.15,0.0,2024-08-14,2023-03-17
70,0,1,,6.0,,2.04,,2024-09-16
71,1,1,8.0,9.0,4.48,2.1,2024-10-09,2024-06-17
72,0,0,,,,,,
73,1,1,5.0,6.0,5.65,2.18,2024-08-27,2024-03-26
74,1,1,4.0,1.0,6.1,14.7,2024-08-22,2024-07-26
75,1,1,3.0,1.0,5.24,15.72,2024-07-21,2024-08-07
76,1,1,1.0,0.0,5.53,0.0,2024-07-07,2023-11-03
77,1,1,4.0,4.0,5.78,6.0,2024-07-24,2024-11-05
78,0,0,,,,,,
79,1,1,0.0,5.0,0.0,8.11,2024-06-10,2024-07-04
80,1,1,6.0,5.0,6.28,8.19,2024-10-14,2024-08-10
81,1,1,6.0,3.0,5.92,7.72,2024-07-30,2024-07-03
82,1,1,7.0,6.0,6.21,2.13,2024-09-24,2023-06-03
83,0,1,,3.0,,8.94,,2024-08-07
84,1,1,5.0,7.0,5.89,1.85,2024-11-01,2023-12-09
85,1,1,6.0,5.0,7.24,8.6,2024-11-20,2024-11-10
86,1,1,3.0,0.0,5.98,0.0,2024-10-25,2024-02-23
87,0,0,,,,,,
88,0,1,,2.0,,16.68,,2024-12-26
89,0,1,,0.0,,0.0,,2024-10-31
90,1,1,4.0,0.0,4.98,0.0,2024-09-18,2023-06-29
91,1,1,6.0,8.0,6.72,1.97,2024-09-21,2023-01-23
92,0,0,,,,,,
93,1,1,5.0,8.0,5.85,2.45,2024-10-02,2024-07-01
94,1,1,8.0,6.0,3.72,2.04,2024-10-11,2023-07-10
95,1,1,3.0,5.0,4.31,8.28,2024-09-20,2024-08-27
96,0,1,,2.0,,15.5,,2024-08-04
97,1,1,3.0,0.0,6.11,0.0,2024-10-31,2023-07-21
98,1,1,7.0,1.0,4.4,15.91,2024-08-28,2024-08-31
99,1,1,3.0,0.0,5.99,0.0,2024-10-02,2023-12-21
100,1,1,5.0,1.0,4.9,15.49,2024-09-27,2024-11-22
101,0,1,,2.0,,16.84,,2024-12-30
102,0,1,,3.0,,8.14,,2024-07-21
103,1,1,5.0,1.0,5.02,14.81,2024-08-12,2024-10-27
104,0,1,,0.0,,0.0,,2024-01-07
105,1,1,3.0,2.0,5.72,16.3,2024-09-22,2024-12-30
106,1,1,12.0,7.0,1.09,1.61,2024-01-18,2024-08-30
107,1,1,3.0,2.0,4.87,17.56,2024-07-09,2024-12-22
108,1,1,0.0,8.0,0.0,2.23,2024-03-11,2024-04-04
109,1,1,3.0,1.0,3.0,15.78,2024-10-10,2024-07-17
110,0,1,,2.0,,15.86,,2024-08-21
111,0,1,,6.0,,2.2,,2024-09-20
112,1,1,4.0,5.0,5.19,8.49,2024-09-02,2024-11-18
113,0,0,,,,,,
114,1,1,3.0,0.0,4.79,0.0,2024-11-20,2024-08-01
115,1,1,3.0,8.0,6.4,2.25,2024-08-26,2023-03-12
116,0,0,,,,,,
117,1,1,10.0,0.0,2.07,0.0,2023-01-22,2023-10-04
118,1,1,6.0,4.0,3.85,8.91,2024-07-03,2024-07-28
119,0,0,,,,,,
120,0,1,,5.0,,8.13,,2024-10-29
121,0,1,,3.0,,9.15,,2024-07-06
122,1,1,4.0,6.0,6.04,1.92,2024-08-14,2024-07-21
123,0,1,,8.0,,2.76,,2023-11-27
124,1,1,0.0,4.0,0.0,8.29,2023-02-10,2024-08-29
125,1,1,3.0,5.0,4.89,9.56,2024-09-24,2024-10-22
126,1,1,4.0,3.0,4.81,7.5,2024-08-12,2024-09-29
127,1,1,2.0,3.0,7.67,8.65,2024-09-25,2024-10-21
128,1,1,6.0,3.0,5.85,9.28,2024-10-08,2024-07-01
129,1,1,4.0,4.0,6.25,6.45,2024-08-12,2024-10-12
130,1,1,3.0,5.0,4.58,8.97,2024-08-30,2024-07-02
131,1,1,2.0,0.0,6.55,0.0,2024-10-13,2023-08-30
132,0,1,,0.0,,0.0,,2024-05-20
133,1,1,12.0,5.0,0.78,7.26,2023-09-16,2024-10-09
134,1,1,0.0,4.0,0.0,8.73,2023-01-27,2024-11-04
135,1,1,2.0,5.0,7.34,6.71,2024-10-31,2024-09-13
136,1,1,6.0,3.0,5.16,7.63,2024-10-29,2024-10-28
137,1,1,2.0,5.0,8.21,7.77,2024-12-26,2024-07-03
138,0,1,,3.0,,10.65,,2024-10-19
139,1,1,3.0,3.0,6.17,8.32,2024-11-02,2024-07-24
140,1,1,5.0,10.0,7.88,1.72,2024-08-15,2023-05-10
141,1,1,12.0,0.0,2.1,0.0,2024-08-22,2023-08-24
142,0,0,,,,,,
143,0,0,,,,,,
144,1,1,5.0,0.0,6.62,0.0,2024-07-21,2023-05-29
145,1,1,4.0,3.0,5.1,7.99,2024-11-29,2024-09-02
146,1,1,7.0,9.0,5.1,1.75,2024-09-06,2023-05-05
147,1,1,11.0,7.0,1.89,2.91,2023-10-08,2023-09-02
148,0,0,,,,,,
149,0,0,,,,,,
150,1,1,10.0,2.0,1.95,16.13,2023-05-06,2024-12-20
151,1,1,6.0,5.0,6.33,6.18,2024-09-08,2024-11-06
152,1,1,10.0,4.0,2.14,8.64,2023-06-20,2024-10-21
153,1,1,5.0,3.0,6.0,7.11,2024-10-11,2024-10-08
154,1,1,4.0,3.0,4.67,8.91,2024-07-15,2024-08-15
155,0,0,,,,,,
156,1,1,9.0,0.0,4.76,0.0,2024-11-24,2023-12-20
157,1,1,11.0,5.0,1.69,7.97,2023-10-05,2024-10-20
158,1,1,4.0,8.0,6.91,1.94,2024-10-17,2023-05-01
159,0,0,,,,,,
160,1,1,12.0,2.0,1.94,16.8,2023-06-12,2024-12-29
161,0,1,,7.0,,1.47,,2024-05-23
162,1,1,4.0,6.0,6.31,1.81,2024-07-28,2024-02-07
163,1,1,3.0,2.0,5.56,15.98,2024-07-27,2024-10-20
164,0,0,,,,,,
165,1,1,6.0,1.0,6.49,14.18,2024-07-17,2024-08-05
166,1,1,3.0,2.0,5.48,16.47,2024-09-19,2024-12-27
167,1,1,7.0,5.0,5.07,7.18,2024-11-21,2024-08-13
168,1,1,3.0,3.0,5.13,8.1,2024-08-23,2024-11-17
169,0,1,,2.0,,16.42,,2024-12-29
170,1,1,0.0,2.0,0.0,17.46,2024-02-17,2024-12-29
171,1,1,5.0,8.0,6.09,2.22,2024-08-05,2023-06-28
172,1,1,6.0,3.0,6.96,8.18,2024-08-22,2024-11-12
173,1,1,6.0,2.0,5.64,16.21,2024-09-25,2024-12-20
174,1,1,6.0,3.0,4.56,9.24,2024-11-12,2024-07-09
175,1,1,0.0,6.0,0.0,1.79,2024-10-12,2024-06-30
176,1,1,3.0,6.0,6.47,2.41,2024-07-13,2023-11-09
177,0,1,,9.0,,1.65,,2023-03-29
178,1,1,3.0,3.0,5.26,6.59,2024-08-20,2024-07-29
179,1,1,12.0,1.0,1.67,16.12,2024-04-12,2024-12-28
180,1,1,3.0,1.0,6.36,17.05,2024-10-18,2024-12-29
181,0,0,,,,,,
182,1,1,4.0,4.0,4.44,8.67,2024-11-03,2024-11-29
183,0,0,,,,,,
184,1,1,5.0,2.0,4.56,15.6,2024-10-28,2024-07-24
185,0,1,,2.0,,15.82,,2024-09-15
186,1,1,10.0,3.0,2.35,8.74,2023-04-11,2024-08-31
187,1,1,10.0,4.0,3.0,6.65,2024-08-29,2024-07-29
188,1,1,10.0,5.0,2.19,8.18,2023-10-23,2024-10-28
189,1,1,3.0,5.0,4.66,6.71,2024-10-16,2024-11-10
190,1,1,6.0,7.0,6.0,2.89,2024-07-12,2024-06-25
191,1,1,6.0,3.0,6.83,8.43,2024-09-16,2024-08-27
192,1,1,6.0,0.0,6.48,0.0,2024-07-17,2023-07-22
193,1,1,2.0,2.0,7.77,15.71,2024-09-27,2024-11-16
194,1,1,2.0,2.0,7.26,15.89,2024-07-12,2024-08-28
195,0,1,,3.0,,7.44,,2024-10-22
196,1,1,3.0,2.0,5.12,15.39,2024-07-08,2024-07-05
197,1,1,0.0,0.0,0.0,0.0,2023-11-19,2023-10-06
198,1,1,9.0,2.0,5.84,16.69,2024-09-24,2024-12-22
199,1,1,7.0,3.0,4.98,8.65,2024-08-06,2024-08-07
200,1,1,5.0,3.0,4.87,7.9,2024-08-23,2024-10-23
201,0,1,,0.0,,0.0,,2024-05-26
202,1,1,3.0,5.0,6.47,6.56,2024-08-13,2024-11-25
203,0,1,,3.0,,8.67,,2024-08-22
204,0,1,,6.0,,2.23,,2023-05-07
205,0,0,,,,,,
206,1,1,10.0,5.0,2.5,8.18,2023-12-02,2024-10-22
207,1,1,5.0,3.0,6.54,8.13,2024-10-11,2024-10-27
208,1,1,11.0,2.0,1.41,17.67,2023-01-26,2024-12-22
209,1,1,5.0,1.0,6.23,16.53,2024-08-29,2024-12-22
210,0,1,,7.0,,2.07,,2023-07-24
211,1,1,8.0,3.0,6.47,6.51,2024-11-04,2024-11-06
212,0,1,,2.0,,15.79,,2024-08-15
213,0,1,,3.0,,7.83,,2024-09-01
214,1,1,4.0,3.0,4.41,8.09,2024-09-17,2024-09-29
215,1,1,10.0,2.0,3.0,16.66,2024-07-29,2024-12-21
216,1,1,6.0,3.0,5.31,8.04,2024-09-25,2024-08-26
217,0,1,,3.0,,7.27,,2024-08-17
218,0,1,,5.0,,7.98,,2024-10-22
219,1,1,1.0,1.0,6.47,16.97,2024-09-19,2024-12-30
220,1,1,2.0,0.0,6.85,0.0,2024-08-27,2024-09-15
221,1,1,10.0,3.0,1.74,8.02,2024-08-28,2024-07-26
222,1,1,6.0,2.0,5.58,14.22,2024-07-23,2024-08-21
223,1,1,10.0,8.0,1.85,0.59,2023-07-13,2023-04-14
224,1,1,8.0,6.0,5.03,2.04,2024-07-24,2024-02-10
225,1,1,8.0,5.0,5.96,8.18,2024-09-16,2024-09-20
226,1,1,7.0,5.0,4.44,7.88,2024-09-10,2024-07-24
227,0,1,,7.0,,2.23,,2023-04-12
228,1,1,10.0,3.0,1.74,8.24,2024-08-25,2024-07-12
229,0,1,,7.0,,1.27,,2024-01-14
230,1,1,10.0,9.0,1.43,2.66,2023-06-10,2023-06-09
231,0,1,,1.0,,14.72,,2024-07-12
232,1,1,3.0,5.0,6.98,10.22,2024-08-27,2024-08-19
233,0,1,,4.0,,8.09,,2024-08-18
234,1,1,6.0,1.0,5.83,16.43,2024-11-01,2024-12-31
235,0,1,,4.0,,7.05,,2024-07-13
236,1,1,5.0,6.0,5.57,2.54,2024-08-04,2024-02-12
237,1,1,6.0,3.0,5.61,7.83,2024-07-23,2024-11-13
238,1,1,5.0,9.0,4.77,2.37,2024-09-13,2024-08-09
239,0,0,,,,,,
240,0,1,,2.0,,15.71,,2024-10-24
241,1,1,3.0,0.0,5.68,0.0,2024-07-22,2023-01-08
242,1,1,5.0,4.0,5.51,7.57,2024-10-21,2024-09-02
243,1,1,0.0,2.0,0.0,17.97,2024-10-18,2024-12-27
244,1,1,0.0,1.0,0.0,18.64,2023-10-06,2024-12-25
245,1,1,0.0,7.0,0.0,1.42,2023-02-10,2023-08-21
246,1,1,3.0,6.0,6.06,3.09,2024-09-17,2024-10-09
247,1,1,10.0,3.0,1.92,7.29,2023-05-13,2024-11-24
248,1,1,6.0,2.0,4.16,15.57,2024-08-04,2024-11-16
249,1,1,11.0,3.0,2.16,8.5,2023-12-16,2024-10-27
250,1,1,3.0,3.0,4.75,7.86,2024-08-12,2024-08-12
251,1,1,3.0,1.0,4.65,17.13,2024-10-28,2024-12-25
252,1,1,4.0,2.0,5.18,16.49,2024-08-28,2024-12-20
253,1,1,10.0,0.0,2.15,0.0,2023-03-04,2023-08-10
254,1,1,3.0,1.0,5.12,16.1,2024-08-01,2024-12-24
255,1,1,5.0,5.0,4.43,7.89,2024-09-30,2024-10-19
256,1,1,3.0,3.0,4.28,9.67,2024-10-31,2024-09-09
257,0,1,,0.0,,0.0,,2024-08-21
258,1,1,6.0,4.0,3.24,7.21,2024-07-20,2024-08-29
259,1,1,4.0,1.0,5.41,15.08,2024-09-23,2024-07-09
260,1,1,10.0,6.0,2.61,2.4,2024-09-26,2024-02-04
261,1,1,10.0,2.0,1.89,18.55,2023-08-01,2024-12-23
262,0,1,,2.0,,16.15,,2024-12-21
263,0,0,,,,,,
264,0,0,,,,,,
265,0,0,,,,,,
266,1,1,9.0,5.0,4.61,6.35,2024-10-18,2024-09-02
267,1,1,2.0,0.0,5.82,0.0,2024-09-28,2024-02-09
268,1,1,5.0,4.0,5.79,6.92,2024-11-29,2024-09-06
269,0,0,,,,,,
270,0,0,,,,,,
271,0,0,,,,,,
272,1,1,12.0,0.0,1.98,0.0,2023-03-23,2024-04-12
273,0,0,,,,,,
274,1,1,6.0,0.0,4.8,0.0,2024-09-29,2024-06-26
275,1,1,7.0,7.0,5.11,1.14,2024-08-15,2024-05-20
276,1,1,0.0,1.0,0.0,17.43,2024-03-02,2024-12-30
277,1,1,3.0,9.0,5.31,2.38,2024-09-01,2024-04-23
278,1,1,4.0,1.0,5.53,15.01,2024-10-19,2024-07-03
279,1,1,11.0,0.0,1.94,0.0,2023-06-12,2023-10-13
280,1,1,7.0,5.0,4.37,8.17,2024-08-04,2024-10-12
281,1,1,10.0,2.0,1.65,15.14,2023-11-27,2024-08-14
282,0,1,,0.0,,0.0,,2024-08-13
283,0,1,,5.0,,6.9,,2024-09-25
284,1,1,4.0,2.0,3.49,15.91,2024-09-10,2024-07-01
285,0,0,,,,,,
286,1,1,3.0,2.0,5.24,16.03,2024-11-04,2024-12-21
287,1,1,12.0,6.0,2.26,2.2,2023-04-05,2024-05-02
288,0,1,,7.0,,1.99,,2023-06-22
289,0,1,,2.0,,15.46,,2024-08-01
290,0,1,,3.0,,8.31,,2024-08-22
291,0,1,,1.0,,16.48,,2024-12-23
292,1,1,5.0,6.0,5.25,3.14,2024-08-08,2023-10-17
293,1,1,7.0,5.0,6.16,6.78,2024-11-22,2024-10-22
294,1,1,5.0,0.0,4.65,0.0,2024-10-05,2024-10-12
295,0,1,,0.0,,0.0,,2024-01-04
296,0,0,,,,,,
297,1,1,4.0,7.0,6.38,2.38,2024-08-03,2024-05-27
298,0,1,,3.0,,7.48,,2024-07-07
299,1,1,4.0,4.0,4.73,7.82,2024-08-24,2024-08-05
300,0,0,,,,,,
301,0,0,,,,,,
302,0,1,,0.0,,0.0,,2023-04-17
303,1,1,7.0,3.0,6.59,8.27,2024-07-13,2024-07-15
304,0,1,,3.0,,6.52,,2024-11-13
305,1,1,4.0,0.0,4.33,0.0,2024-07-09,2024-01-17
306,1,1,5.0,5.0,5.18,6.31,2024-11-12,2024-11-19
307,1,1,4.0,1.0,5.37,15.08,2024-08-29,2024-08-10
308,1,1,5.0,0.0,4.31,0.0,2024-07-18,2023-10-30
309,1,1,10.0,6.0,2.7,1.67,2024-03-30,2023-01-22
310,1,1,9.0,8.0,5.36,2.19,2024-07-10,2023-10-11
311,1,1,12.0,3.0,2.77,7.92,2023-01-16,2024-10-21
312,1,1,4.0,0.0,4.77,0.0,2024-07-27,2023-03-09
313,1,1,3.0,0.0,3.93,0.0,2024-10-07,2024-09-09
314,0,0,,,,,,
315,1,1,9.0,7.0,7.65,1.25,2024-07-30,2024-04-20
316,1,1,3.0,8.0,5.26,2.72,2024-08-18,2023-01-12
317,0,1,,0.0,,0.0,,2024-01-17
318,1,1,5.0,3.0,5.0,7.37,2024-07-27,2024-08-15
319,1,1,10.0,4.0,1.73,8.62,2023-05-25,2024-08-02
320,1,1,6.0,6.0,6.81,1.24,2024-10-06,2023-02-10
321,1,1,5.0,0.0,7.58,0.0,2024-10-01,2023-12-20
322,1,1,3.0,6.0,5.93,2.19,2024-09-27,2023-10-19
323,1,1,5.0,10.0,3.69,2.18,2024-09-10,2023-12-20
324,1,1,4.0,6.0,4.21,2.55,2024-11-30,2023-04-15
325,1,1,3.0,1.0,7.25,14.69,2024-11-08,2024-11-28
326,0,0,,,,,,
327,1,1,12.0,4.0,1.58,7.4,2023-11-12,2024-07-12
328,1,1,4.0,3.0,6.48,8.86,2024-11-09,2024-08-03
329,1,1,8.0,0.0,5.53,0.0,2024-11-11,2024-07-29
330,1,1,3.0,3.0,3.0,8.59,2024-10-23,2024-11-02
331,1,1,10.0,3.0,1.96,8.29,2024-04-05,2024-10-26
332,1,1,5.0,6.0,6.05,2.07,2024-07-25,2024-08-24
333,1,1,1.0,5.0,7.33,8.95,2024-07-13,2024-08-31
334,1,1,3.0,5.0,6.24,7.77,2024-09-21,2024-09-24
335,0,1,,0.0,,0.0,,2024-03-25
336,1,1,5.0,3.0,4.55,9.88,2024-10-12,2024-07-30
337,1,1,5.0,3.0,6.15,8.75,2024-10-19,2024-09-09
338,1,1,8.0,3.0,5.72,8.1,2024-07-08,2024-07-27
339,1,1,3.0,5.0,4.82,8.61,2024-09-28,2024-11-19
340,1,1,5.0,1.0,5.02,17.43,2024-10-16,2024-12-26
341,1,1,3.0,4.0,6.25,7.56,2024-11-23,2024-09-20
342,1,1,4.0,0.0,4.71,0.0,2024-08-03,2023-09-29
343,1,1,12.0,3.0,1.43,7.66,2024-01-13,2024-09-13
344,1,1,7.0,5.0,3.0,6.37,2024-07-22,2024-09-07
345,1,1,3.0,4.0,4.87,9.44,2024-11-22,2024-11-24
346,1,1,6.0,6.0,4.0,1.34,2024-11-26,2024-01-16
347,1,1,4.0,6.0,5.11,2.46,2024-11-04,2023-12-28
348,0,0,,,,,,
349,0,1,,0.0,,0.0,,2023-06-22
350,1,1,3.0,3.0,4.34,8.34,2024-11-17,2024-09-26
351,1,1,10.0,2.0,1.96,16.47,2024-05-15,2024-12-25
352,1,1,0.0,0.0,0.0,0.0,2024-03-09,2023-05-31
353,1,1,3.0,0.0,5.49,0.0,2024-07-31,2024-10-20
354,0,1,,0.0,,0.0,,2023-03-22
355,0,1,,3.0,,6.65,,2024-10-25
356,0,0,,,,,,
357,1,1,5.0,6.0,5.8,2.14,2024-09-03,2023-08-18
358,1,1,4.0,5.0,4.12,8.41,2024-10-20,2024-08-06
359,1,1,10.0,8.0,2.11,1.63,2024-03-23,2023-10-14
360,0,0,,,,,,
361,1,1,3.0,1.0,5.26,17.64,2024-10-22,2024-12-28
362,1,1,10.0,1.0,1.88,17.88,2023-09-06,2024-12-26
363,1,1,4.0,6.0,5.99,1.95,2024-11-07,2024-06-11
364,1,1,5.0,1.0,6.25,17.07,2024-11-11,2024-12-28
365,1,1,10.0,3.0,2.19,6.18,2024-05-28,2024-10-05
366,1,1,7.0,0.0,4.65,0.0,2024-08-31,2023-02-09
367,1,1,12.0,1.0,1.88,16.8,2024-02-05,2024-12-30
368,1,1,1.0,2.0,6.06,17.29,2024-07-31,2024-12-22
369,0,1,,3.0,,7.7,,2024-08-18
370,1,1,5.0,0.0,5.77,0.0,2024-10-24,2023-08-14
371,1,1,5.0,0.0,5.16,0.0,2024-11-27,2024-05-31
372,1,1,5.0,2.0,6.19,15.14,2024-08-18,2024-08-31
373,1,1,6.0,4.0,4.86,7.53,2024-08-22,2024-07-15
374,1,1,10.0,4.0,2.13,8.56,2023-01-08,2024-11-28
375,0,1,,4.0,,7.59,,2024-07-19
376,1,1,5.0,5.0,6.05,8.43,2024-10-08,2024-11-26
377,1,1,3.0,1.0,6.77,15.66,2024-09-15,2024-10-20
378,1,1,7.0,7.0,6.34,1.74,2024-11-24,2023-05-05
379,0,1,,6.0,,1.68,,2024-06-26
380,0,1,,7.0,,2.33,,2023-09-21
381,1,1,4.0,0.0,5.17,0.0,2024-10-24,2023-10-07
382,1,1,3.0,2.0,4.52,15.65,2024-08-20,2024-10-01
383,0,1,,3.0,,9.53,,2024-10-03
384,1,1,7.0,2.0,4.91,16.35,2024-09-25,2024-12-26
385,1,1,5.0,8.0,5.03,2.28,2024-11-08,2023-09-09
386,1,1,11.0,2.0,1.3,14.74,2024-02-05,2024-09-04
387,1,1,11.0,3.0,1.74,6.61,2023-05-23,2024-10-26
388,1,1,0.0,1.0,0.0,15.45,2024-01-13,2024-11-29
389,1,1,6.0,2.0,6.46,16.51,2024-07-19,2024-12-20
390,0,0,,,,,,
391,1,1,3.0,5.0,5.52,6.24,2024-11-28,2024-07-14
392,0,0,,,,,,
393,1,1,3.0,1.0,5.08,16.64,2024-09-08,2024-12-27
394,1,1,7.0,6.0,5.27,2.27,2024-07-18,2024-07-04
395,0,0,,,,,,
396,1,1,4.0,3.0,4.54,6.0,2024-10-10,2024-07-20
397,1,1,4.0,5.0,5.5,7.46,2024-11-22,2024-09-26
398,1,1,4.0,0.0,6.13,0.0,2024-09-23,2023-10-06
399,1,1,1.0,0.0,7.33,0.0,2024-07-21,2024-02-03
400,1,1,3.0,9.0,5.51,2.81,2024-08-30,2023-08-19
401,0,1,,0.0,,0.0,,2023-12-28
402,1,1,9.0,9.0,4.85,1.74,2024-08-21,2024-01-17
403,1,1,2.0,9.0,5.0,1.8,2024-07-12,2023-10-30
404,1,1,2.0,6.0,7.47,1.83,2024-09-30,2024-09-26
405,1,1,4.0,3.0,6.09,8.74,2024-11-23,2024-09-22
406,1,1,3.0,0.0,5.49,0.0,2024-10-16,2023-12-09
407,1,1,10.0,3.0,1.95,7.52,2024-07-10,2024-11-16
408,0,1,,0.0,,0.0,,2024-01-05
409,0,1,,9.0,,2.12,,2024-02-10
410,1,1,10.0,5.0,2.6,8.33,2023-07-05,2024-07-02
411,1,1,5.0,4.0,6.16,6.97,2024-10-08,2024-08-22
412,1,1,5.0,4.0,5.8,9.68,2024-11-10,2024-10-14
413,0,1,,0.0,,0.0,,2023-01-17
414,1,1,2.0,3.0,5.62,7.64,2024-11-27,2024-11-19
415,1,1,10.0,3.0,2.85,6.06,2024-04-07,2024-07-19
416,1,1,10.0,3.0,2.18,7.18,2023-05-16,2024-10-10
417,1,1,3.0,0.0,4.13,0.0,2024-08-15,2024-04-25
418,1,1,3.0,3.0,6.42,7.36,2024-11-26,2024-11-23
419,0,1,,5.0,,6.13,,2024-11-04
420,0,0,,,,,,
421,1,1,3.0,2.0,3.43,15.83,2024-07-19,2024-09-07
422,1,1,11.0,1.0,2.06,16.45,2023-09-25,2024-12-29
423,1,1,2.0,3.0,7.71,6.0,2024-07-07,2024-08-06
424,0,1,,4.0,,6.65,,2024-10-10
425,1,1,6.0,2.0,5.79,13.87,2024-10-10,2024-10-31
426,0,1,,3.0,,9.01,,2024-09-11
427,1,1,4.0,2.0,5.77,15.51,2024-11-05,2024-08-25
428,1,1,3.0,2.0,3.0,16.91,2024-10-11,2024-12-30
429,1,1,0.0,0.0,0.0,0.0,2023-01-05,2024-09-03
430,1,1,3.0,0.0,6.92,0.0,2024-07-09,2023-07-14
431,1,1,4.0,5.0,4.81,8.78,2024-07-11,2024-11-09
432,0,0,,,,,,
433,1,1,7.0,0.0,5.79,0.0,2024-08-01,2023-02-10
434,1,1,4.0,2.0,6.51,15.54,2024-08-05,2024-09-06
435,1,1,1.0,10.0,7.62,2.05,2024-11-21,2024-04-30
436,1,1,10.0,6.0,1.46,0.8,2023-05-08,2023-11-29
437,1,1,2.0,6.0,5.09,2.29,2024-09-05,2024-04-27
438,1,1,7.0,5.0,6.47,7.49,2024-07-10,2024-10-09
439,1,1,8.0,6.0,3.2,2.01,2024-09-02,2023-11-19
440,1,1,4.0,3.0,6.4,9.21,2024-10-09,2024-08-11
441,1,1,3.0,0.0,5.29,0.0,2024-09-19,2024-01-01
