engagement_id,customer_id,campaign_id,channel_used,has_engaged,day,month,duration
195,155,64,Instagram,0,3,July,
196,156,41,Instagram,0,12,March,
197,3704,47,TikTok,1,24,September,68
198,157,25,Google Ads,0,26,November,
199,1453,35,Instagram,1,26,January,28
200,158,66,Instagram,0,5,June,
201,159,10,Email,0,3,June,
202,160,5,Email,0,28,September,
203,161,21,Google Ads,0,10,July,
204,162,69,Instagram,0,10,October,
205,163,62,TikTok,0,15,February,
206,164,3,Email,0,28,June,
207,165,65,Instagram,0,25,February,
208,166,91,Landline,0,18,November,
209,167,26,Google Ads,0,14,October,
210,168,90,Telephone,0,3,February,
211,169,69,Instagram,0,3,October,
212,3233,59,Instagram,1,11,December,143
213,170,34,Instagram,0,5,November,
214,171,37,TikTok,0,23,November,
215,172,95,Telephone,0,16,July,
216,173,8,Email,0,5,November,
217,174,34,TikTok,0,18,November,
218,544,49,Instagram,1,13,June,164
219,175,10,Email,0,5,June,
220,176,2,Email,0,25,December,
221,177,85,Telephone,0,18,May,
222,1898,46,TikTok,1,17,August,26
223,178,61,Instagram,0,20,August,
224,90,59,Instagram,1,4,December,55
225,2563,37,Instagram,1,16,December,39
226,179,45,Instagram,0,24,November,
227,1128,33,TikTok,1,4,April,128
228,817,32,Google Ads,1,26,October,137
229,180,6,Email,0,28,January,
230,181,91,Telephone,0,7,November,
231,182,45,TikTok,0,17,November,
232,183,31,Google Ads,0,13,March,
233,184,6,Email,0,24,January,
234,3226,58,TikTok,1,16,April,178
235,185,85,Landline,0,20,May,
236,186,11,Email,0,1,February,
237,618,51,Instagram,1,27,August,56
238,187,21,Google Ads,0,27,July,
239,188,26,Google Ads,0,6,October,
240,189,50,TikTok,0,7,July,
241,190,94,Landline,0,8,December,
242,191,77,Website,0,3,April,
243,192,84,Landline,0,1,January,
244,193,60,TikTok,0,15,July,
245,194,91,Telephone,0,12,November,
246,195,31,Google Ads,0,4,March,
247,196,59,TikTok,0,5,December,
248,197,10,Email,0,16,June,
249,198,96,Telephone,0,26,June,
250,3237,73,Website,1,29,October,
251,199,24,Google Ads,0,25,May,
252,200,53,Instagram,0,24,June,
253,201,42,TikTok,0,30,January,
254,202,2,Email,0,21,December,
255,2250,12,Email,1,24,December,
256,203,88,Landline,0,17,May,
257,471,85,Telephone,1,12,May,444
258,3241,9,Email,1,15,October,
259,204,88,Landline,0,9,April,
260,205,10,Email,0,21,May,
261,2253,68,TikTok,1,1,April,66
262,2986,79,Website,1,19,September,
263,206,65,Instagram,0,26,February,
264,1851,12,Email,1,3,January,
265,207,79,Website,0,12,September,
266,208,24,Google Ads,0,20,May,
267,209,22,Google Ads,0,26,October,
268,210,49,Instagram,0,27,May,
269,211,49,TikTok,0,2,June,
270,212,49,Instagram,0,14,May,
271,213,5,Email,0,13,September,
272,214,98,Telephone,0,25,January,
273,967,35,TikTok,1,20,January,40
274,215,23,Google Ads,0,6,March,
275,216,57,TikTok,0,2,November,
276,304,5,Email,1,29,September,
277,217,71,Website,0,1,January,
278,218,24,Google Ads,0,23,May,
279,219,92,Telephone,0,25,November,
280,220,20,Google Ads,0,30,September,
281,221,59,Instagram,0,30,November,
282,222,14,Email,0,30,June,
283,223,25,Google Ads,0,3,November,
284,224,18,Email,0,14,October,
285,225,93,Landline,0,26,December,
286,226,63,TikTok,0,18,April,
287,227,23,Google Ads,0,4,March,
288,228,91,Telephone,0,8,November,
289,297,35,TikTok,1,16,January,145
290,669,14,Email,1,28,May,
291,229,30,Google Ads,0,16,August,
292,230,57,TikTok,0,20,November,
293,231,80,Website,0,1,October,
294,232,22,Google Ads,0,11,September,
295,233,6,Email,0,29,January,
296,234,12,Email,0,27,January,
297,2178,43,TikTok,1,23,November,133
298,235,96,Landline,0,30,May,
299,236,30,Google Ads,0,20,August,
300,237,50,TikTok,0,24,June,
301,238,19,Google Ads,0,3,May,
302,239,49,Instagram,0,22,May,
303,240,55,TikTok,0,29,April,
304,241,27,Google Ads,0,24,March,
305,3763,53,TikTok,1,16,June,20
306,242,30,Google Ads,0,26,August,
307,243,97,Telephone,0,22,April,
308,244,26,Google Ads,0,1,October,
309,491,4,Email,1,22,September,
310,245,85,Landline,0,18,May,
311,246,28,Google Ads,0,15,February,
312,247,67,TikTok,0,6,September,
313,248,18,Email,0,18,October,
314,249,29,Google Ads,0,24,January,
315,250,71,Website,0,27,January,
316,251,90,Telephone,0,28,January,
317,252,6,Email,0,24,January,
318,253,12,Email,0,20,December,
319,254,70,Instagram,0,4,September,
320,255,74,Website,0,27,July,
321,256,93,Telephone,0,21,December,
322,257,39,Instagram,0,4,April,
323,258,34,TikTok,0,29,November,
324,259,74,Website,0,9,July,
325,260,31,Google Ads,0,7,March,
326,261,72,Website,0,14,October,
327,262,54,TikTok,0,30,May,
328,263,18,Email,0,5,October,
329,264,82,Website,0,21,May,
330,265,39,Instagram,0,7,April,
331,266,27,Google Ads,0,31,March,
332,267,34,Instagram,0,25,November,
333,268,34,Instagram,0,17,November,
334,269,74,Website,0,18,August,
335,335,2,Email,1,11,December,
336,270,79,Website,0,23,September,
337,271,69,TikTok,0,7,September,
338,272,1,Email,0,16,June,
339,273,94,Telephone,0,28,November,
340,274,88,Landline,0,19,May,
341,275,62,Instagram,0,28,February,
342,276,46,TikTok,0,20,August,
343,544,59,TikTok,1,28,November,136
344,277,22,Google Ads,0,3,October,
345,2282,1,Email,1,17,June,
346,1803,46,Instagram,1,27,August,26
347,278,77,Website,0,8,May,
348,992,55,TikTok,1,23,April,155
349,13,15,Email,1,7,March,
350,279,51,TikTok,0,13,August,
351,1358,23,Google Ads,1,4,March,54
352,280,37,Instagram,0,30,November,
353,281,41,Instagram,0,22,March,
354,3919,8,Email,1,26,September,
355,3518,19,Google Ads,1,6,May,104
356,282,97,Telephone,0,21,May,
357,283,93,Landline,0,20,December,
358,284,10,Email,0,18,June,
359,285,84,Telephone,0,31,January,
360,286,34,Instagram,0,18,November,
361,287,6,Email,0,28,January,
362,288,80,Website,0,1,November,
363,3638,34,TikTok,1,30,October,77
364,289,32,Google Ads,0,12,October,
365,3392,39,TikTok,1,10,April,40
366,3126,9,Email,1,27,October,
367,290,51,Instagram,0,6,September,
368,291,38,Instagram,0,18,March,
369,2219,39,Instagram,1,19,April,65
370,292,23,Google Ads,0,6,March,
371,3026,42,TikTok,1,6,February,164
372,293,27,Google Ads,0,1,April,
373,1353,54,TikTok,1,1,June,45
374,294,46,Instagram,0,26,August,
375,295,96,Telephone,0,10,July,
376,1743,49,TikTok,1,16,May,55
377,296,18,Email,0,13,October,
378,297,90,Landline,0,29,January,
379,270,2,Email,1,12,December,
380,298,89,Landline,0,11,February,
381,299,60,TikTok,0,28,July,
382,3539,59,Instagram,1,8,December,157
383,300,36,Instagram,0,2,February,
384,301,79,Website,0,30,August,
385,302,21,Google Ads,0,28,June,
386,303,32,Google Ads,0,8,November,
387,304,10,Email,0,30,May,
388,305,18,Email,0,14,October,
389,306,77,Website,0,24,April,
390,307,20,Google Ads,0,10,October,
391,308,78,Website,0,1,August,
392,309,22,Google Ads,0,13,September,
393,310,39,Instagram,0,10,April,
394,1718,13,Email,1,30,December,
395,311,97,Landline,0,15,April,
396,312,22,Google Ads,0,8,November,
397,313,21,Google Ads,0,6,June,
398,314,86,Telephone,0,12,August,
399,315,62,Instagram,0,15,February,
400,316,86,Landline,0,12,August,
401,317,91,Landline,0,6,November,
402,318,14,Email,0,4,June,
403,319,67,Instagram,0,15,September,
404,320,89,Telephone,0,11,March,
405,321,3,Email,0,1,June,
406,322,95,Landline,0,28,July,
407,323,75,Website,0,20,September,
408,324,79,Website,0,9,September,
409,325,4,Email,0,20,September,
410,326,12,Email,0,4,January,
411,327,96,Telephone,0,9,July,
412,3455,2,Email,1,24,December,
413,328,5,Email,0,27,September,
414,329,26,Google Ads,0,12,October,
415,330,92,Telephone,0,3,December,
416,331,71,Website,0,12,January,
417,2971,3,Email,1,23,June,
418,332,68,TikTok,0,18,March,
419,333,55,TikTok,0,16,April,
420,334,82,Website,0,24,June,
421,335,19,Google Ads,0,29,May,
422,336,92,Landline,0,3,December,
423,337,32,Google Ads,0,2,November,
424,338,9,Email,0,26,October,
425,339,95,Telephone,0,27,July,
426,340,10,Email,0,3,June,
427,341,43,Instagram,0,29,November,
428,342,51,TikTok,0,6,September,
429,343,84,Telephone,0,19,January,
430,2124,52,Instagram,1,24,February,36
431,344,80,Website,0,24,September,
432,345,8,Email,0,22,October,
433,346,93,Landline,0,24,December,
434,347,84,Landline,0,29,January,
435,348,58,TikTok,0,29,April,
436,3738,38,TikTok,1,12,April,168
437,349,77,Website,0,4,May,
438,350,26,Google Ads,0,8,October,
439,351,57,TikTok,0,23,November,
440,834,69,TikTok,1,8,October,119
441,2262,26,Google Ads,1,2,October,88
442,352,30,Google Ads,0,31,August,
443,353,71,Website,0,28,December,
444,1431,42,Instagram,1,8,February,102
445,354,6,Email,0,29,January,
446,355,35,Instagram,0,12,January,
447,356,90,Landline,0,19,January,
448,357,13,Email,0,22,December,
449,2598,58,TikTok,1,22,March,102
450,3440,35,Instagram,1,13,January,150
451,358,32,Google Ads,0,9,November,
452,359,20,Google Ads,0,21,October,
453,360,72,Website,0,25,October,
454,361,71,Website,0,27,December,
455,362,88,Telephone,0,16,April,
456,363,56,TikTok,0,18,July,
457,364,60,TikTok,0,14,July,
458,308,58,TikTok,1,6,May,33
459,365,65,Instagram,0,29,March,
460,366,68,Instagram,0,23,March,
461,367,11,Email,0,13,February,
462,368,77,Website,0,14,April,
463,1463,67,TikTok,1,3,September,172
464,369,21,Google Ads,0,30,May,
465,370,12,Email,0,31,December,
466,371,3,Email,0,1,June,
467,372,72,Website,0,21,October,
468,373,81,Website,0,13,August,
469,374,98,Telephone,0,16,January,
470,338,15,Email,1,27,January,
471,375,93,Telephone,0,30,December,
472,376,96,Landline,0,5,July,
473,377,87,Telephone,0,9,January,
474,378,93,Landline,0,29,December,
475,379,16,Email,0,27,September,
476,380,23,Google Ads,0,10,March,
477,381,61,Instagram,0,27,August,
478,382,84,Telephone,0,25,January,
479,383,70,Instagram,0,30,September,
480,384,2,Email,0,17,December,
481,385,4,Email,0,12,September,
482,386,2,Email,0,26,December,
483,619,57,TikTok,1,3,December,128
484,387,6,Email,0,27,January,
485,1454,62,TikTok,1,13,February,168
486,388,46,TikTok,0,27,August,
487,389,9,Email,0,30,October,
488,390,91,Landline,0,18,November,
489,391,62,TikTok,0,11,February,
490,3072,60,Instagram,1,11,August,43
491,1679,8,Email,1,31,October,
492,392,75,Website,0,22,August,
493,393,42,TikTok,0,28,January,
494,1573,39,TikTok,1,13,April,24
495,394,76,Website,0,30,May,
496,3994,62,Instagram,1,27,February,33
497,1287,30,Google Ads,1,30,August,33
498,395,83,Website,0,25,September,
499,396,99,Telephone,0,8,April,
500,397,72,Website,0,1,October,
501,398,86,Landline,0,25,July,
502,399,32,Google Ads,0,15,October,
503,400,14,Email,0,5,May,
504,401,63,TikTok,0,2,March,
505,402,20,Google Ads,0,22,October,
506,403,30,Google Ads,0,31,August,
507,404,23,Google Ads,0,2,March,
508,405,62,Instagram,0,16,February,
509,406,70,Instagram,0,27,September,
510,407,36,Instagram,0,24,January,
511,408,22,Google Ads,0,9,November,
512,409,23,Google Ads,0,6,March,
513,410,72,Website,0,17,October,
514,2986,14,Email,1,28,May,
515,411,68,TikTok,0,20,March,
516,412,34,TikTok,0,11,November,
517,413,79,Website,0,14,August,
518,414,75,Website,0,4,September,
519,415,7,Email,0,4,March,
520,416,81,Website,0,17,August,
521,1302,7,Email,1,5,March,
522,417,32,Google Ads,0,5,November,
523,418,79,Website,0,4,October,
524,419,80,Website,0,2,October,
525,2242,45,TikTok,1,23,November,119
526,420,95,Landline,0,14,August,
527,421,95,Telephone,0,1,August,
528,422,1,Email,0,30,June,
529,918,51,TikTok,1,7,August,138
530,535,62,TikTok,1,11,February,102
531,423,47,TikTok,0,20,September,
532,424,2,Email,0,11,December,
533,425,75,Website,0,8,August,
534,426,84,Telephone,0,1,January,
535,427,53,TikTok,0,14,June,
536,428,28,Google Ads,0,8,January,
537,2195,59,TikTok,1,27,November,52
538,429,39,TikTok,0,15,April,
539,2253,43,TikTok,1,23,November,80
540,1289,61,Instagram,1,17,September,147
541,430,47,Instagram,0,6,October,
542,431,84,Telephone,0,29,December,
543,432,18,Email,0,7,October,
544,433,60,TikTok,0,12,August,
545,434,2,Email,0,12,December,
546,435,22,Google Ads,0,10,October,
547,3323,54,Instagram,1,29,May,135
548,436,86,Landline,0,22,July,
549,437,43,TikTok,0,27,November,
550,438,27,Google Ads,0,7,March,
551,439,88,Landline,0,9,May,
552,440,58,TikTok,0,31,March,
553,2303,57,TikTok,1,19,December,162
554,441,97,Telephone,0,1,May,
555,442,12,Email,0,6,December,
556,786,7,Email,1,7,March,
557,443,11,Email,0,9,February,
558,444,73,Website,0,12,October,
559,445,56,TikTok,0,27,July,
560,446,92,Telephone,0,30,November,
561,447,15,Email,0,1,March,
562,448,81,Website,0,11,August,
563,449,50,Instagram,0,17,July,
564,450,25,Google Ads,0,6,November,
565,451,91,Landline,0,16,November,
566,452,26,Google Ads,0,15,October,
567,453,11,Email,0,24,February,
568,454,13,Email,0,21,January,
569,3445,38,Instagram,1,31,March,24
570,455,13,Email,0,26,January,
571,456,93,Landline,0,30,December,
572,1808,53,TikTok,1,10,June,175
573,457,88,Telephone,0,15,April,
574,458,26,Google Ads,0,12,October,
575,459,72,Website,0,15,October,
576,460,91,Landline,0,14,November,
577,461,82,Website,0,7,July,
578,3701,13,Email,1,17,December,
579,462,55,TikTok,0,27,April,
580,463,52,Instagram,0,28,February,
581,2511,8,Email,1,7,November,
582,464,41,TikTok,0,13,March,
583,465,88,Telephone,0,12,May,
584,466,63,Instagram,0,19,April,
585,3734,26,Google Ads,1,12,October,44
586,467,94,Telephone,0,15,November,
587,579,59,Instagram,1,6,December,149
588,3150,22,Google Ads,1,21,October,77
589,468,2,Email,0,24,December,
590,469,46,Instagram,0,27,August,
591,470,73,Website,0,18,October,
592,471,98,Telephone,0,17,January,
593,472,3,Email,0,23,June,
594,2870,23,Google Ads,1,2,March,139
595,2202,46,Instagram,1,16,August,167
596,1963,54,TikTok,1,9,June,65
597,2807,33,Instagram,1,2,April,25
598,2136,6,Email,1,3,February,
599,473,68,TikTok,0,29,March,
600,474,14,Email,0,25,May,
601,864,19,Google Ads,1,20,May,67
602,475,4,Email,0,13,September,
603,476,8,Email,0,11,October,
604,477,38,Instagram,0,26,March,
605,478,75,Website,0,26,September,
606,287,54,TikTok,1,5,June,176
607,697,42,TikTok,1,27,January,34
608,479,15,Email,0,3,February,
609,480,47,Instagram,0,17,September,
610,481,17,Email,0,1,January,
611,482,63,TikTok,0,22,April,
612,483,14,Email,0,12,May,
613,96,66,Instagram,1,2,May,170
614,374,50,TikTok,1,19,July,162
615,484,85,Telephone,0,18,May,
616,485,37,Instagram,0,3,December,
617,486,60,TikTok,0,26,July,
618,487,66,TikTok,0,22,May,
619,488,67,TikTok,0,18,September,
620,489,25,Google Ads,0,3,October,
621,490,75,Website,0,28,September,
622,491,19,Google Ads,0,5,May,
623,492,93,Landline,0,24,December,
624,493,83,Website,0,4,October,
625,494,92,Landline,0,2,December,
626,495,48,Instagram,0,18,May,
627,496,94,Landline,0,15,November,
628,497,8,Email,0,9,October,
629,2585,97,Telephone,1,18,April,421
630,498,10,Email,0,7,June,
631,499,51,Instagram,0,9,September,
632,1558,51,Instagram,1,2,September,173
633,500,99,Landline,0,2,April,
634,501,65,Instagram,0,4,April,
635,502,20,Google Ads,0,27,September,
636,503,32,Google Ads,0,27,October,
637,504,17,Email,0,2,December,
638,505,63,Instagram,0,23,April,
639,2121,18,Email,1,16,October,
640,506,19,Google Ads,0,26,April,
641,507,14,Email,0,18,June,
642,508,5,Email,0,9,September,
643,509,30,Google Ads,0,29,August,
644,510,25,Google Ads,0,14,November,
645,2160,13,Email,1,22,December,
646,511,19,Google Ads,0,3,May,
647,512,46,TikTok,0,12,August,
648,513,70,Instagram,0,28,September,
649,514,3,Email,0,4,June,
650,515,93,Telephone,0,2,January,
651,263,35,TikTok,1,18,January,162
652,516,58,TikTok,0,23,April,
653,517,33,TikTok,0,1,April,
654,2627,4,Email,1,7,September,
655,518,37,Instagram,0,4,January,
656,519,11,Email,0,26,February,
657,520,24,Google Ads,0,12,May,
658,521,6,Email,0,30,January,
659,522,82,Website,0,22,June,
660,523,64,Instagram,0,12,July,
661,524,36,Instagram,0,1,February,
662,525,91,Landline,0,9,November,
663,526,95,Landline,0,4,August,
664,527,13,Email,0,28,December,
665,581,63,TikTok,1,7,March,111
666,528,23,Google Ads,0,5,March,
667,529,72,Website,0,4,October,
668,530,69,Instagram,0,8,September,
669,531,81,Website,0,9,August,
670,1976,41,Instagram,1,12,March,29
671,532,27,Google Ads,0,4,April,
672,533,58,TikTok,0,29,April,
673,534,58,Instagram,0,2,April,
674,535,66,Instagram,0,15,May,
675,536,47,Instagram,0,7,October,
676,537,96,Landline,0,28,May,
677,2715,54,Instagram,1,8,June,62
678,538,94,Telephone,0,4,December,
679,539,98,Landline,0,20,January,
680,1988,60,Instagram,1,27,July,105
681,540,1,Email,0,23,June,
682,541,26,Google Ads,0,5,October,
683,542,27,Google Ads,0,24,February,
684,543,29,Google Ads,0,18,January,
685,544,41,Instagram,0,22,March,
686,545,96,Landline,0,28,June,
687,546,76,Website,0,27,May,
688,2998,42,TikTok,1,11,February,94
689,547,84,Landline,0,2,January,
690,548,37,TikTok,0,1,January,
691,549,32,Google Ads,0,15,October,
692,550,87,Telephone,0,3,February,
693,551,88,Landline,0,5,April,
694,552,42,Instagram,0,18,February,
695,553,96,Telephone,0,30,June,
696,554,6,Email,0,21,January,
697,555,51,TikTok,0,12,August,
698,556,76,Website,0,11,June,
699,557,68,TikTok,0,6,April,
700,558,78,Website,0,17,August,
701,559,90,Telephone,0,31,December,
702,560,76,Website,0,5,May,
703,561,1,Email,0,17,June,
704,562,56,Instagram,0,24,July,
705,563,3,Email,0,5,June,
706,564,22,Google Ads,0,12,October,
707,565,94,Landline,0,1,December,
708,566,88,Telephone,0,9,April,
709,567,95,Landline,0,12,August,
710,568,23,Google Ads,0,10,March,
711,569,98,Landline,0,29,January,
712,570,71,Website,0,24,January,
713,3192,60,TikTok,1,20,July,92
714,571,25,Google Ads,0,20,October,
715,572,93,Landline,0,31,December,
716,573,93,Telephone,0,24,December,
717,574,88,Landline,0,8,May,
718,575,90,Telephone,0,5,February,
719,2618,34,Instagram,1,21,November,122
720,576,7,Email,0,4,March,
721,2551,62,Instagram,1,28,February,94
722,577,61,Instagram,0,25,August,
723,578,64,TikTok,0,14,July,
724,579,45,Instagram,0,7,November,
725,580,27,Google Ads,0,18,March,
726,581,14,Email,0,23,May,
727,582,73,Website,0,13,October,
728,583,52,TikTok,0,26,February,
729,584,91,Landline,0,12,November,
730,585,46,Instagram,0,22,August,
731,586,44,TikTok,0,25,March,
732,587,46,Instagram,0,25,August,
733,588,35,Instagram,0,20,January,
734,589,96,Telephone,0,10,July,
735,590,79,Website,0,6,September,
736,2958,57,Instagram,1,3,November,49
737,3463,34,Instagram,1,25,November,29
738,591,76,Website,0,2,May,
739,592,86,Landline,0,22,August,
740,593,3,Email,0,20,June,
741,1239,14,Email,1,22,June,
742,594,76,Website,0,10,June,
743,595,65,Instagram,0,22,February,
744,596,24,Google Ads,0,21,May,
745,597,51,Instagram,0,29,July,
746,598,88,Telephone,0,13,May,
747,599,13,Email,0,15,December,
748,600,49,TikTok,0,18,May,
749,601,24,Google Ads,0,27,May,
750,602,88,Telephone,0,18,May,
751,603,80,Website,0,11,October,
752,604,1,Email,0,11,June,
753,405,33,TikTok,1,2,April,70
754,605,87,Telephone,0,28,January,
755,606,85,Telephone,0,9,May,
756,1646,70,TikTok,1,10,September,151
757,607,91,Telephone,0,17,November,
758,608,81,Website,0,15,August,
759,609,71,Website,0,6,January,
760,3356,79,Website,1,26,September,173
761,610,87,Landline,0,12,January,
762,3606,69,Instagram,1,8,October,111
763,611,73,Website,0,26,October,
764,612,83,Website,0,17,September,
765,613,34,Instagram,0,17,November,
766,1303,62,TikTok,1,28,February,40
767,3461,40,Instagram,1,3,September,78
768,614,12,Email,0,31,January,
769,2246,21,Google Ads,1,3,June,166
770,615,63,TikTok,0,5,March,
771,616,23,Google Ads,0,2,March,
772,617,29,Google Ads,0,23,December,
773,2820,47,Instagram,1,13,October,51
774,1037,67,Instagram,1,16,September,72
775,618,53,TikTok,0,13,June,
776,619,11,Email,0,26,February,
777,620,98,Telephone,0,17,January,
778,621,68,Instagram,0,6,April,
779,622,77,Website,0,15,May,
780,623,59,TikTok,0,30,November,
781,624,71,Website,0,15,January,
782,625,18,Email,0,11,October,
783,945,38,TikTok,1,28,March,93
784,626,13,Email,0,21,January,
